,Open,High,Low,Close,Volume,first_half_log_return_mean,first_half_log_return_std,second_half_log_return_mean,second_half_log_return_std,first_second_half_log_return_diff,log_return_mean,log_return_std,log_return_min,log_return_max,month_log_return,pct_bull,next_month_log_return
2018-12-31,13.7347,14.479,13.3158,13.8819,1330.0,-0.001910881475939726,0.024235303499059585,0.0025898836429134597,0.019363910946190513,0.029594474356032574,0.0005126074342119894,0.020920407276480976,-0.037060076831707534,0.028405727388779667,0.010660356019241746,0.5,0.13116679133632037
2019-01-31,13.3844,15.4137,13.2269,15.4137,7000.0,0.006595928914388723,0.0179370438445698,0.007436683131036807,0.02396244383604013,0.02244015421190637,0.007058343733545169,0.020925162988601656,-0.03471031014083481,0.0496577879155633,0.14116687467090352,0.6190476190476191,-0.025348290314007538
2019-02-28,15.2452,15.6136,14.8505,15.013,7307.0,-0.000128795372792756,0.010646617846018364,-0.0014317843997082135,0.01479390459434535,-0.013287481014740088,-0.0008526781655235657,0.012766536012558123,-0.026511591117656774,0.022398096422990843,-0.015348206979424217,0.47368421052631576,0.13229967155262762
2019-03-31,15.2437,18.3931,15.0582,17.5748,10982.0,0.002202055006144368,0.0253580331519572,0.010665336369930339,0.02376531609401921,0.09750020501393442,0.006856859756226652,0.024221234217991747,-0.035839093957838575,0.05015154205363048,0.14229975488721086,0.6666666666666666,-0.06917107943108831
2019-04-30,18.0108,18.518,16.7955,16.976,23180.0,0.0022012432822853256,0.014406424401901855,-0.006427032347488931,0.01001763643486779,-0.09050854536294617,-0.002544308314090515,0.012633298220207425,-0.022063629821199804,0.025813874792869562,-0.05917099609650508,0.42857142857142855,-0.11343264825370657
2019-05-31,16.9677,17.4457,14.8122,15.3004,9437.0,-0.00807511669124752,0.021011172493161333,-0.0020619452733316797,0.01817659833795371,0.05806976890582671,-0.004925360234243985,0.019321635350347453,-0.03660111894611573,0.02031585088751431,-0.10343256491912327,0.5,0.07945086980117634
2019-06-30,15.1549,16.807,15.1549,16.573,6190.0,0.005713001010555028,0.01621653848826287,0.003803394404076421,0.008399538817364499,-0.013383065054231036,0.004707944901882077,0.012373925523488757,-0.025522850075238246,0.027814513216370518,0.08945095313575957,0.75,-0.0844601055450679
2019-07-31,16.8712,16.9553,15.6606,15.6606,7150.0,-0.0008739295284090787,0.00785541898691996,-0.005974611538763088,0.01157157100575841,-0.05698143164230318,-0.0035457153433564167,0.010076359265557826,-0.027031311704343253,0.012720406556171682,-0.07446002221048469,0.36363636363636365,-0.029997260735615424
2019-08-31,14.7637,15.296,13.8918,14.4714,7712.0,-0.006374710213209988,0.02685650557955734,0.0014379510154902888,0.02242662594855691,0.07956456330249306,-0.0022823638553193673,0.024331773156836576,-0.059369840126656026,0.044148071080256646,-0.01999717740103221,0.45454545454545453,0.015904662290054866
2019-09-30,14.4266,15.64,14.4266,14.8052,4016.0,0.007838466697905912,0.014592060911877636,-0.0044641454656515036,0.00941088649643931,-0.11518765493766825,0.0013634076644546411,0.013369638604169027,-0.02149323265750258,0.0355171664627294,0.025904745624638063,0.45,0.0835334219412109
2019-10-31,14.6266,16.4987,14.6266,16.0607,11817.0,0.00864665588462472,0.013399954396228136,0.0005889122024622292,0.01079348733981335,-0.07939961241670046,0.004251522967081544,0.012443530742014666,-0.01774269007981788,0.02716640119567204,0.09353350527579408,0.5217391304347826,-0.015024430534689506
2019-11-30,16.601,17.7006,16.1785,16.5178,9612.0,-0.0019829912527474175,0.01243097843924625,0.0013328695747431673,0.013570564689579836,0.03117561702215843,-0.0002378013435418465,0.012792699948084279,-0.01789222682276259,0.027825819988798184,-0.005024347200106257,0.45,0.10175690406722006
2019-12-31,16.874,18.8692,16.7385,18.8692,48236.0,0.0049365653180225445,0.011663472596958649,0.006120718139963662,0.01084368671609219,0.02289881167739738,0.005587849370090159,0.01093302370358735,-0.013211213723028248,0.02857217482191121,0.11175698740180331,0.6666666666666666,-0.2060132846701812
2020-01-31,19.5215,19.5881,14.7066,16.0467,766561.0,-0.006060667820151355,0.013364637234316872,-0.012860653723112321,0.0281356786535997,-0.08692118057287335,-0.009800660066779886,0.0224475522182307,-0.061350501333496954,0.03258178821868629,-0.196013201335598,0.42857142857142855,0.014532823257239369
2020-02-29,16.4034,18.2826,16.033,16.8108,383016.0,0.010691457177470942,0.01966105025569891,-0.005149225382144929,0.019725595838016714,-0.13702391124121682,0.0018910779776843472,0.020754903838749263,-0.03723882867534245,0.03800516555486366,0.024532906591822595,0.47368421052631576,-0.1672073251090311
2020-03-31,17.683,18.4531,12.0693,15.1106,394271.0,-0.021401380273222737,0.048802397843999604,0.006366411324870197,0.038055674123991114,0.28404432730579954,-0.006856346578983581,0.04469689267293586,-0.1022510484794048,0.05977277900759681,-0.1572072417744478,0.45454545454545453,0.0727896740100512
2020-04-30,14.6837,16.314,14.1951,15.9511,145535.0,0.004391218987518276,0.02361208266168822,0.0038926735863035896,0.018443175459848225,0.003298438561674999,0.004117019016850199,0.020343085080964912,-0.026528975091713036,0.04403160723015187,0.08278975734463447,0.47619047619047616,0.01127695682120006
2020-05-31,14.6896,16.1413,13.5966,15.0055,108254.0,-0.0020968848066145185,0.015022170407601386,-0.00025424983412545286,0.027218885388811516,0.016329464918276138,-0.0011270769263571154,0.021716887110129875,-0.04365748540680858,0.04502334585465784,0.021277040155783442,0.4,-0.05231587679275162
2020-06-30,16.4748,17.2425,15.3275,15.7922,100392.0,0.00042168318878252895,0.019402491057314217,-0.0004736817919221375,0.010077302294534896,-0.009427331598968802,-4.731751539610585e-05,0.014845587587699717,-0.04045705491243767,0.02281482045678418,-0.04231579345816836,0.4090909090909091,0.034163151629737216
2020-07-31,16.0056,20.1265,15.8671,16.7283,126895.0,0.005655010836852404,0.04329291266142389,-0.0011260794003821286,0.01550769845814043,-0.06893698177272745,0.0021030111887771724,0.031236387432316368,-0.03726411740927427,0.09352057672808511,0.044163234964320404,0.2727272727272727,-0.011268579917583715
2020-08-31,16.7233,17.7,16.294,16.7021,52956.0,0.0033099444031070074,0.00937831070225565,-0.002612289484181493,0.014986355201216597,-0.05852468395395949,5.271576509833231e-05,0.01282091371972211,-0.025343552918451362,0.025056205195800096,-0.0012684965830004353,0.42857142857142855,-0.01589263751682145
2020-09-30,16.51,16.9432,14.7071,16.413,141898.0,0.0021043881816225074,0.010941290828555727,-0.0021505737711513136,0.021877385946884636,-0.042595805117267016,-0.00023584089240309415,0.017522186221573553,-0.04117168502703139,0.04837000929737112,-0.005892554182238141,0.2857142857142857,-0.07174217477024854
2020-10-31,16.5813,16.8919,15.1107,15.5885,79842.0,-0.0028697228797354146,0.009200040557483937,-0.0026205832834239507,0.010904703078108027,-0.00012918732030930968,-0.0027392211864294097,0.009877290468400262,-0.022809147959455878,0.018327152299035365,-0.06174209143566519,0.2727272727272727,0.0634646382617472
2020-11-30,15.7732,18.4628,15.7536,16.9756,55278.0,0.011534492634967789,0.019391464161100238,-0.002538834792188904,0.013808394866307878,-0.12919878163659915,0.004127478199622161,0.01773641738877862,-0.02531694603384249,0.03432658951135936,0.07346472159633041,0.5,-0.0749561075526047
2020-12-31,16.8497,16.8497,15.1279,15.79,80899.0,-0.006747950815177628,0.011058727123022548,-0.00010932453149999203,0.0063987729385034916,0.06627693830527637,-0.003270575142775057,0.009329930162624065,-0.018393444545308668,0.017251772847693747,-0.06495602421802152,0.22727272727272727,0.020798390207814894
2021-01-31,15.0299,18.7006,14.6462,15.5,92327.0,0.004155835790283724,0.008042447880666255,-0.0023300613524552373,0.031854433068313336,-0.05654729984682216,0.00055255959987319,0.02397556937962007,-0.027895128998590035,0.08183142325027104,0.03079847354239826,0.47368421052631576,0.09431227763606884
2021-02-28,15.5402,17.8403,15.1397,17.2488,80302.0,0.0022342477499546765,0.010147197843442955,0.008773263580728451,0.017490279970453576,0.06985865380764711,0.005867034322606774,0.014680894348435265,-0.009693129205659456,0.054739314371031966,0.10431236097065193,0.5263157894736842,-0.033589456594260346
2021-03-31,17.1876,17.1876,15.5053,16.7869,44847.0,-0.009858328621051626,0.011302810699747657,0.002170562082943661,0.014757393833632601,0.05028612489892481,-0.0031756115632764668,0.01403533920395919,-0.021037905797622436,0.014046032451842994,-0.02358937325967712,0.4,
