date,Open,High,Low,Close,Volume
2021-03-12,30.3,30.8708,30.1598,30.28,9478334.0
2021-03-11,30.31,30.4198,29.9108,30.34,10122474.0
2021-03-10,30.4613,30.9781,30.4107,30.26,11820525.0
2021-03-09,30.1601,30.6822,29.9694,30.1,10336994.0
2021-03-08,30.5237,31.6267,30.4721,29.9671,13142867.0
2021-03-05,31.0742,32.6993,30.8766,29.5597,13688881.0
2021-03-04,26.5745,26.9263,25.1259,27.8904,14448368.0
2021-03-03,29.5105,29.8456,29.0965,29.6292,10059680.0
2021-03-02,30.4768,31.3781,30.3836,29.8478,10928600.0
2021-03-01,29.6009,30.6793,29.3893,29.3908,17333565.0
2021-02-26,28.3444,29.144,27.776,28.7847,24387036.0
2021-02-25,28.3008,30.431,27.611,28.0097,18284985.0
2021-02-24,28.4731,29.4744,28.3793,27.7911,8275926.0
2021-02-23,27.5571,27.97,27.0066,27.2048,11845463.0
2021-02-22,27.0763,27.4374,26.8857,26.9465,9520651.0
2021-02-19,27.33,27.7753,27.2737,26.9266,8979553.0
2021-02-18,26.5629,26.9294,26.4305,26.241,7345669.0
2021-02-17,25.4156,25.4909,24.686,26.1119,9397172.0
2021-02-16,26.6236,26.7686,26.1062,26.9862,6380826.0
2021-02-12,27.4239,27.5441,27.2736,27.3141,3941229.0
2021-02-11,27.2846,27.4645,26.9148,27.2048,6265661.0
2021-02-10,26.9168,27.2334,26.6497,26.9763,6242036.0
2021-02-09,26.6803,26.8951,26.446,26.9167,7061302.0
2021-02-08,28.082,29.1363,28.0181,27.1254,8426269.0
2021-02-05,26.1326,26.7156,26.0824,25.9827,7267532.0
2021-02-04,26.5408,27.3304,26.4356,25.784,6963361.0
2021-02-03,25.4417,25.9329,25.3496,25.0686,6300619.0
2021-02-02,24.8406,25.0611,24.7303,24.7308,5910144.0
2021-02-01,24.3234,24.4188,23.9477,24.3234,9352952.0
2021-01-29,23.7645,23.9755,23.0929,24.1843,14666939.0
2021-01-28,24.6021,24.9665,24.474,24.7109,9292903.0
2021-01-27,25.3752,26.4876,25.3542,24.691,12948572.0
2021-01-26,23.909,24.0703,23.1496,24.4625,11548348.0
2021-01-25,24.6628,24.7117,23.8658,24.8599,9953342.0
2021-01-22,25.2683,25.5098,25.1224,25.1083,6684494.0
2021-01-21,25.1482,25.1779,24.7226,25.1978,7160067.0
2021-01-20,25.0189,25.1181,24.8529,25.0388,6270504.0
