date,Open,High,Low,Close,Volume
2020-02-11,9.9,9.9,9.9,9.9,0.0
2020-02-10,9.9,9.9,9.9,9.9,0.0
2020-02-07,9.9,9.9,9.9,9.9,0.0
2020-02-06,9.9,9.9,9.9,9.9,0.0
2020-02-04,9.9,9.9,9.9,9.9,0.0
2020-02-03,9.9,9.9,9.9,9.9,0.0
2020-01-31,9.9,9.9,9.9,9.9,0.0
2020-01-29,9.9,9.9,9.9,9.9,0.0
2020-01-28,9.9,9.9,9.9,9.9,0.0
2020-01-27,9.9,9.9,9.9,9.9,0.0
2020-01-24,9.9,9.9,9.9,9.9,0.0
2020-01-23,9.9,9.9,9.9,9.9,0.0
2020-01-22,9.9,9.9,9.9,9.9,0.0
2020-01-21,9.9,9.9,9.9,9.9,0.0
2020-01-17,9.9,9.9,9.9,9.9,0.0
2020-01-16,9.9,9.9,9.9,9.9,0.0
2020-01-15,9.9,9.9,9.9,9.9,0.0
2020-01-14,9.9,9.9,9.9,9.9,0.0
2020-01-13,9.9,9.9,9.9,9.9,0.0
2020-01-10,9.9,9.9,9.9,9.9,0.0
2020-01-09,9.9,9.9,9.9,9.9,0.0
2020-01-08,9.9,9.9,9.9,9.9,0.0
2020-01-07,9.9,9.9,9.9,9.9,0.0
2020-01-06,9.9,9.9,9.9,9.9,0.0
2020-01-03,9.9,9.9,9.9,9.9,0.0
2020-01-02,9.9,9.9,9.9,9.9,0.0
2019-12-31,9.9,9.9,9.9,9.9,0.0
2019-12-30,9.9,9.9,9.9,9.9,0.0
2019-12-27,9.9,9.9,9.9,9.9,0.0
2019-12-26,9.9,9.9,9.9,9.9,0.0
2019-12-24,9.9,9.9,9.9,9.9,0.0
2019-12-23,9.9,9.9,9.9,9.9,0.0
2019-12-20,9.9,9.9,9.9,9.9,0.0
2019-12-19,9.9,9.9,9.9,9.9,0.0
2019-12-18,9.6467,9.6467,9.3998,9.9,17458.0
2019-12-17,10.1106,10.3647,9.7245,10.03,46880.0
2019-12-16,10.4074,10.6924,10.2913,10.13,18728.0
2019-12-13,10.1033,10.4249,10.0203,9.92,27532.0
2019-12-12,9.8342,10.0428,9.8342,9.63,6757.0
2019-12-11,9.5239,9.7219,9.5239,9.33,1637.0
2019-12-10,8.9747,8.9747,8.5255,9.18,32432.0
2019-12-09,8.6643,8.6729,8.0288,9.35,37424.0
2019-12-06,10.13,10.13,10.13,10.13,13254.0
2019-12-05,10.1601,10.1903,10.1601,10.13,11158.0
2019-12-04,10.14,10.1702,10.14,10.12,72639.0
2019-12-03,10.11,10.13,10.1,10.11,418105.0
2019-12-02,10.12,10.13,10.11,10.12,5503.0
2019-11-29,10.11,10.11,10.0801,10.12,3854.0
2019-11-27,10.13,10.1602,10.13,10.11,60399.0
2019-11-26,10.07,10.09,10.0501,10.09,21074.0
2019-11-25,10.1,10.1,10.0702,10.12,57113.0
2019-11-22,10.0802,10.0802,10.0109,10.13,1076456.0
2019-11-21,10.1601,10.1903,10.1601,10.13,2375318.0
2019-11-20,10.11,10.12,10.11,10.1,585916.0
2019-11-19,10.09,10.1,10.09,10.09,1574300.0
2019-11-18,10.13,10.1602,10.13,10.11,264163.0
2019-11-15,10.1502,10.1905,10.1502,10.11,565408.0
2019-11-14,10.11,10.12,10.1,10.1,74866.0
2019-11-13,10.1,10.1,10.06,10.1,1490578.0
2019-11-12,10.0302,10.0698,9.9607,10.07,3625642.0
2019-11-11,10.0902,10.0902,10.0407,10.14,763.0
2019-11-08,10.1201,10.1201,10.0803,10.15,798.0
2019-11-07,10.11,10.14,10.07,10.11,994092.0
2019-11-06,10.17,10.17,10.128,10.17,12820.0
2019-11-05,10.19,10.19,10.19,10.19,289.0
2019-11-04,10.18,10.18,10.18,10.18,0.0
2019-11-01,10.2,10.2302,10.2,10.18,22746.0
2019-10-31,10.2377,10.316,10.1845,10.18,14007.0
2019-10-30,10.1868,10.1934,10.1336,10.19,1796.0
2019-10-29,10.2,10.2,10.2,10.2,0.0
2019-10-28,10.2,10.2,10.15,10.2,50532.0
2019-10-25,10.2,10.2402,10.2,10.18,51704.0
2019-10-24,10.2,10.2,10.2,10.2,9.0
2019-10-23,10.19,10.19,10.1401,10.2,972.0
2019-10-22,10.21,10.23,10.1198,10.2,6541.0
2019-10-21,10.22,10.22,10.1801,10.23,14708.0
2019-10-18,10.2301,10.2703,10.2301,10.2,40253.0
2019-10-17,10.21,10.2301,10.21,10.19,728.0
2019-10-16,10.2101,10.2403,10.2101,10.18,435.0
2019-10-15,10.18,10.18,10.18,10.18,28.0
2019-10-14,10.2051,10.2302,10.2051,10.18,52845.0
2019-10-11,10.1501,10.1501,10.1252,10.175,154240.0
2019-10-10,10.17,10.171,10.15,10.17,428371.0
2019-10-09,10.1202,10.1202,10.0606,10.16,112606.0
2019-10-08,10.17,10.17,10.15,10.17,3647.0
2019-10-07,10.16,10.16,10.1301,10.17,6503.0
2019-10-04,10.2,10.2,10.2,10.2,472.0
2019-10-03,10.17,10.2202,10.17,10.15,369221.0
2019-10-02,10.085,10.0898,10.0402,10.13,1212.0
2019-10-01,10.14,10.14,10.1201,10.16,160822.0
2019-09-30,10.18,10.18,10.16,10.18,62142.0
2019-09-27,10.17,10.1951,10.15,10.16,416190.0
2019-09-26,10.15,10.16,10.13,10.16,73737.0
2019-09-25,10.17,10.18,10.17,10.16,13852.0
2019-09-24,10.16,10.17,10.16,10.16,44403.0
2019-09-23,10.16,10.16,10.16,10.16,56649.0
2019-09-20,10.1301,10.1301,10.1003,10.16,58628.0
2019-09-19,10.16,10.16,10.15,10.16,148105.0
2019-09-18,10.16,10.16,10.16,10.16,12.0
2019-09-17,10.2002,10.2506,10.2002,10.16,1480805.0
2019-09-16,10.15,10.15,10.14,10.15,256318.0
2019-09-13,10.17,10.17,10.17,10.17,45.0
2019-09-12,10.1859,10.2219,10.1719,10.17,1449.0
2019-09-11,10.19,10.19,10.19,10.19,56.0
2019-09-10,10.19,10.19,10.19,10.19,167.0
